Ticket ID,Title,Priority,Status,Created Date,Category
TICK-001,Cannot login to email,High,Open,2024-01-15,Access Issue
TICK-002,Software installation request,Medium,In Progress,2024-01-16,Software
TICK-003,Printer not working,Low,Open,2024-01-17,Hardware
TICK-004,Need VPN access,High,Resolved,2024-01-18,Network
TICK-005,Password reset required,Medium,Open,2024-01-19,Security
TICK-006,Monitor flickering issue,Medium,In Progress,2024-01-20,Hardware
TICK-007,Teams audio not working,High,Open,2024-01-21,Software
TICK-008,Request for new laptop,Low,Pending,2024-01-22,Hardware
TICK-009,Slow internet connection,Medium,Open,2024-01-23,Network
TICK-010,Excel crashes frequently,High,In Progress,2024-01-24,Software